D_Battery_Li-Ion,Maximum Discharge|Electricity|Energy Storage System|Lithium-Ion
D_Battery_Redox,Maximum Discharge|Electricity|Energy Storage System|Redox Flow
D_CAES,Maximum Discharge|Electricity|Energy Storage System|Compressed Air
